#;Municipio;Categoria Geral;Categoria / Tema / Atividade;Organização;;;;;;;;;;
1;Curitiba;DIVERSOS;Moradia, Refúgio, Assistência, Aula de Português, Celebração Religiosa;Instituto Abuna;;;;;;;;;;
2;Curitiba;DOCUMENTAÇÃO;Documentação, Assistência, Orientação e encaminhamento;Ação Social Irmandade Sem Fronteiras;;;;;;;;;;
3;Curitiba;EDUCAÇÃO;Assistência Social, Comida, roupas, celebrações de datas especiais;Abc Associação Amigas do Bem Curitiba;;;;;;;;;;
4;São José dos Pinhais;HABITAÇÃO;Drogadição (homens);Associação Para Vida Sem Drogas;;;;;;;;;;
5;Curitiba;JUSTIÇA;-;Associação Missionária Construindo Valores;;;;;;;;;;
6;Curitiba;SAÚDE;Cultural e Assistência, Defensa de direitos sociais para Migrantes Peruanos;Associação Contigo Peru;;;;;;;;;;
7;Curitiba;SEGURANÇA;-;Associação das Mulheres para a Paz Mundial;;;;;;;;;;
8;Curitiba;SERVIÇO;-;Associação de Migrantes Campão de Imbuia;;;;;;;;;;
9;Curitiba;SOCIAL;-;Associacao de Paraguai;;;;;;;;;;
10;Curitiba;TRABALHO;Acolhimento para migrantes africanos;Associação dos guineenses em Curitiba;;;;;;;;;;
11;Curitiba;DIVERSOS;-;Associação Fonte de Ação Social;;;;;;;;;;
12;Curitiba;DOCUMENTAÇÃO;-;Associaçao Migrar Acolher;;;;;;;;;;
13;São José dos Pinhais;EDUCAÇÃO;Educação, Contra-turno e jovem aprendiz;Atuação Global - Associação de Voluntariado;;;;;;;;;;
14;Curitiba;HABITAÇÃO;Resignificação - mulheres. A Beleza Escondida atua há mais de 20 anos na proteção de mulheres em situação de violência junto com seus filhos em casas protetivas, inserção no mundo do trabalho, apoio social e psicológico, palestras e cursos para empresas na área da superação da violência e expansão de casas protetivas pelo Brasil.;Beleza Escondida;;;;;;;;;;
15;Curitiba;JUSTIÇA;Moradia, Documentação, Assistência Social;Cáritas da Arquidiocese de Curitiba -  Centro de Acolhida e Integração Santa Dulce dos Pobres;;;;;;;;;;
16;Curitiba;SAÚDE;Acohimento, moradia, saúde e emprego;Projeto Gadareno - Casa do Filho Pródigo - I Igreja Quadrangular;;;;;;;;;;
17;Colombo;SEGURANÇA;Drogadição;Com. Terapêutica Família Abba;;;;;;;;;;
18;Curitiba;SERVIÇO;Contra-turno crianças;Compartilhando Amor ( Igreja Evangélica Menonita de Lindóia);;;;;;;;;;
19;Toledo;SOCIAL;Moradia e assistência social, Refúgio - moradia;Associação Embaixada Solidária;;;;;;;;;;
20;Curitiba;TRABALHO;Serviço escola, atividades de extensão;Faculdade Fidelis;;;;;;;;;;
21;Curitiba;DIVERSOS;Centro de Estudos;Faculdade Inspirar;;;;;;;;;;
